Time [s],Value,Parity Error,Framing Error
-0.002067154000000,240,,
0.002099844000000,240,,
0.006266360000000,10,,
0.010433150000000,112,,
0.014599856000000,255,,
0.018765592000000,255,,
0.022931818000000,0,,
0.027098612000000,58,,
0.031265012000000,178,,
0.035431550000000,160,,
2.515986420000000,240,,
2.520153306000000,240,,
2.524320170000000,15,,
2.528486966000000,96,,
2.532653746000000,112,,
2.536820536000000,224,,
2.540987272000000,1,,
2.545154198000000,35,,
2.549320642000000,2,,
2.553487662000000,94,,
2.557654406000000,102,,
2.561821020000000,112,,
2.565987994000000,94,,
2.570154154000000,119,,
2.574321410000000,160,,
2.583951822000000,240,,
2.588117990000000,240,,
2.592284268000000,10,,
2.596451020000000,112,,
2.600617358000000,96,,
2.604783884000000,224,,
2.608950130000000,128,,
2.613116796000000,161,,
2.617283218000000,219,,
2.621449304000000,160,,
2.905171208000000,240,,
2.909337776000000,240,,
2.913504322000000,17,,
2.917670914000000,112,,
2.921837416000000,255,,
2.926003646000000,224,,
2.930170234000000,192,,
2.934336632000000,49,,
2.938503070000000,65,,
2.942669524000000,32,,
2.946836102000000,16,,
2.951002800000000,112,,
2.955168906000000,94,,
2.959335310000000,102,,
2.963500748000000,0,,
2.967667904000000,246,,
2.971834288000000,160,,
